"ID","Area","Noticia","Impacto"
1,"Tecnología","Avance tecnológico mejora expectativas de crecimiento",55
2,"Farmacéutica","Autorización de nueva vacuna genera confianza en el sector",50
3,"Energía","Regulación ambiental favorece desarrollo de energías renovables",42
4,"Minería","Descubrimiento de nuevos yacimientos en zona estratégica",48
5,"Renovables","Subsidios estatales impulsan proyectos solares",45
6,"Tecnología","Ciberataque compromete datos sensibles de empresas",-50
7,"Farmacéutica","Fuga de información sobre ensayo clínico genera dudas en inversionistas",-40
8,"Minería","Huelga indefinida en zona minera afecta producción",-55
9,"Renovables","Problemas logísticos reducen distribución de paneles solares",-30
10,"Energía","Demora en aprobación de proyectos energéticos frena inversiones",-35
11,"Tecnología","Lanzamiento de nuevo smartphone supera expectativas de ventas",60
12,"Farmacéutica","Nuevas alianzas estratégicas mejoran presencia internacional",40
13,"Energía","Fuerte demanda en mercado asiático impulsa exportaciones energéticas",38
14,"Minería","Desplome en precios de minerales afecta rentabilidad",-45
15,"Renovables","Reducción en la eficiencia de paneles solares por fallos técnicos",-33
16,"Tecnología","Informe financiero muestra crecimiento sostenido en sector tecnológico",44
17,"Farmacéutica","Campaña de desprestigio contra empresa farmacéutica afecta cotización",-32
18,"Minería","Conflictos territoriales paralizan minería en región clave",-48
19,"Renovables","Anuncio de fusión entre líderes en energías renovables",46
20,"Energía","Cierre de plantas por mantenimiento afecta oferta energética",-20
21,"Tecnología","Incremento de inversión en inteligencia artificial",35
22,"Farmacéutica","Caída en ventas de medicamentos genéricos",-29
23,"Energía","Expansión de red de distribución energética",33
24,"Minería","Contaminación de río por empresa minera genera protestas",-38
25,"Renovables","Nueva ley de incentivos para energías limpias",40
26,"Tecnología","Hackeo a base de datos afecta confianza en el sector tecnológico",-37
27,"Farmacéutica","Informe sobre efectos secundarios provoca retiro de medicamento",-52
28,"Minería","Colapso de mina detiene producción y causa pérdidas",-56
29,"Renovables","Fabricación local de baterías reduce costos de instalación solar",30
30,"Energía","Acuerdo internacional sobre energías limpias favorece al sector",41
31,"Tecnología","Anuncio de smartwatch ecológico atrae a nuevos consumidores",36
32,"Farmacéutica","Fracaso en ensayo de tratamiento experimental",-41
33,"Energía","Propuesta de ley busca nacionalizar industria energética",-44
34,"Minería","Deslizamiento de tierra afecta zona de explotación minera",-34
35,"Renovables","Inversión en investigación para optimizar eficiencia solar",28
36,"Tecnología","Presentación de nuevo chip mejora procesamiento de datos",39
37,"Farmacéutica","Retiro de medicamentos del mercado genera desconfianza",-30
38,"Minería","Denuncias por prácticas laborales en minera internacional",-29
39,"Renovables","Demora en entrega de paneles por escasez de materiales",-21
40,"Energía","Anuncio de acuerdo comercial con país europeo impulsa acciones",37
41,"Tecnología","Empresa tecnológica es premiada por sostenibilidad",32
42,"Farmacéutica","Demanda judicial colectiva a farmacéutica por efectos adversos",-46
43,"Energía","Reducción de aranceles favorece importación de componentes energéticos",31
44,"Minería","Colapso parcial en mina interrumpe operaciones",-39
45,"Renovables","Reacondicionamiento de turbinas mejora eficiencia energética",29
46,"Tecnología","Hackeo global afecta múltiples industrias",-60
47,"Renovables","Inauguración de sede verde certificada por ONU",27
48,"General","Celebración del día mundial del emprendimiento",0
49,"General","Empresas dan una actualización estética de sus logos",0
50,"General","Participación en feria internacional sin novedades destacadas",0
51,"General","Campaña publicitaria sin efectos en ventas",0
52,"General","Reconocimiento interno a los empleados del mes",0
